Compound  SmmetryNum  SymetGroup
Ru1Se2  205  (Pa-3)
Ru1Si1  198  (P213)
Ru1Si2  64  (Cmce)
Ru1Te2  58  (Pnnm)
Ru1Te2  205  (Pa-3)
Ru1Th1  63  (Cmcm)
Ru2Si1  62  (Pnma)
Ru2Si3  116  (P-4c2)
Ru2Si3  60  (Pbcn)
Ru2Sn3  116  (P-4c2)
Ru3Th7  186  (P63mc)
Sb1Zn1  61  (Pbca)
Sb1Zn1  14  (P21/c)
Sb2Se3  62  (Pnma)
Sb2Te3  12  (C2/m)
Sb2Zr1  58  (Pnnm)
Sb3Sr2  14  (P21/c)
Sn5Ti6  71  (Immm)
Sr1Te1  225  (Fm-3m)
Tc2Zr1  194  (P63/mmc)
Te1Zn1  144  (P31)
Te1Zn1  152  (P3121)
Te1Zn1  63  (Cmcm)
Te1Zn1  225  (Fm-3m)
Te1Zn1  186  (P63mc)
Te1Zn1  216  (F-43m)
Te1Zr1  62  (Pnma)
Te2Ti1  164  (P-3m1)
Te3Th1  11  (P21/m)
Te3Tl2  9  (Cc)
Te3Tl2  15  (C2/c)
Te3Tl5  87  (I4/m)
Te3Tm2  70  (Fddd)
Te3Zr1  11  (P21/m)
Zn2Zr1  227  (Fd-3m)
Al11La3  71  (Immm)
Al17Mo4  5  (C2)
Al7Te10  155  (R32)
As11Rb3  60  (Pbcn)
As14Ba3  14  (P21/c)
B1F4K1  62  (Pnma)
B1F7S1  62  (Pnma)
C1K4O4  82  (I-4)
C1K4O4  8  (Cm)
C1K4O4  146  (R3)
C1K4O4  86  (P42/n)
C1N4S3  14  (P21/c)
C1N6O1  62  (Pnma)
C1O5U1  59  (Pmmn)
C1O5U1  44  (Imm2)
C2B1N1  17  (P2221)
C2B1N1  25  (Pmm2)
C2B1N1  1  (P1)
C2B1N1  113  (P-421m)
C2B1N1  111  (P-42m)
C2B6O5  1  (P1)
C2F2O3  19  (P212121)
C2F6O3  2  (P-1)
C2H4N4  14  (P21/c)
C2H6O6  14  (P21/c)
C2H6S2  14  (P21/c)
C2H8B4  14  (P21/c)
C2I2Y2  12  (C2/m)
C2K1N3  14  (P21/c)
C2K1N3  62  (Pnma)
C2K1N3  57  (Pbcm)
C2K2O4  55  (Pbam)
F4O1U1  122  (I-42d)
F4O1U1  160  (R3m)
F4O1W1  12  (C2/m)
F4O3P2  54  (Pcca)
F4S1W1  29  (Pca21)
F5K2Y1  33  (Pna21)
F5N3W1  14  (P21/c)
F6I2O3  14  (P21/c)
F6K1P1  205  (Pa-3)
F6K1P1  148  (R-3)
F6K2U1  150  (P321)
F6K2U1  189  (P-62m)
F6K3Y1  14  (P21/c)
F6N3P3  62  (Pnma)
F6N3P3  33  (Pna21)
F8N4P4  14  (P21/c)
F9K1U2  62  (Pnma)
Ga7Te10  155  (R32)
Ge5Mn12  155  (R32)
H1B1O2  62  (Pnma)
H1B1O2  14  (P21/c)
H1F1O1  19  (P212121)
H1F2K1  140  (I4/mcm)
H1F2N1  29  (Pca21)
H1F2P1  19  (P212121)
H6B1N1  62  (Pnma)
H6B1N1  36  (Cmc21)
H6B3N3  96  (P43212)
H6B6K2  225  (Fm-3m)
H6F4O1  2  (P-1)
H7F1N2  29  (Pca21)
H7F4N1  161  (R3c)
H7N1O6  19  (P212121)
H8B1N1  28  (Pma2)
H8F4N2  166  (R-3m)
H8F5N1  88  (I41/a)
H8K1N3  20  (C2221)
H8N2S5  14  (P21/c)
H8N2S8  12  (C2/m)
H8O8U1  15  (C2/c)
H9K1O5  14  (P21/c)
Hf7Ni10  41  (Aea2)
I1K1O3  1  (P1)
I1K1O3  160  (R3m)
I1K1O4  88  (I41/a)
I1K3O1  221  (Pm-3m)
I1K3O5  130  (P4/ncc)
I1N1U1  129  (P4/nmm)
I2K4O9  194  (P63/mmc)
I2N2S1  2  (P-1)
N4O2S4  14  (P21/c)
N4O3S4  14  (P21/c)
N4O3S5  14  (P21/c)
N6O1P4  58  (Pnnm)
N6O8S7  113  (P-421m)
N9O1P1  14  (P21/c)
N9P1S1  14  (P21/c)
Nb12O29  8  (Cm)
Ni10Zr7  41  (Aea2)
Ni2Zn11  217  (I-43m)
Ni4Zn22  217  (I-43m)
O1S1U1  129  (P4/nmm)
O1S2Y2  14  (P21/c)
O2S1Y2  164  (P-3m1)
O3V1Y1  14  (P21/c)
O3V1Y1  62  (Pnma)
O32Si16  2  (P-1)
O4P1V1  63  (Cmcm)
O4P1Y1  141  (I41/amd)
O4V1Y1  141  (I41/amd)
O4V1Y1  88  (I41/a)
O48Si24  12  (C2/m)
O5P1V1  85  (P4/n)
O5P1V1  12  (C2/m)
O5P1V1  135  (P42/mbc)
Ag1N1O3  161  (R3c)
Ag1N1O3  19  (P212121)
Ag1N1O3  160  (R3m)
Ag1N1O3  61  (Pbca)
Ag1O2Y1  194  (P63/mmc)
Ag1O3P1  14  (P21/c)
Ag1O3V1  15  (C2/c)
Ag1O3V1  8  (Cm)
Ag2F7K3  68  (Ccce)
Ag2O3S1  14  (P21/c)
Ag2O4S1  70  (Fddd)
Ag2O4W1  34  (Pnn2)
Ag2O7S2  2  (P-1)
Ag2O7W2  2  (P-1)
Ag2P2S6  12  (C2/m)
Ag3B1O3  155  (R32)
Ag3B1O3  167  (R-3c)
Ag3I1S1  221  (Pm-3m)
Ag3N5O6  36  (Cmc21)
Ag3O4P1  218  (P-43n)
Ag3O4V1  15  (C2/c)
Ag3O4V1  121  (I-42m)
Ag3P1S4  31  (Pmn21)
Ag4K2S3  12  (C2/m)
Ag4P2S6  19  (P212121)
As1F6K1  166  (R-3m)
As1F6K1  148  (R-3)
As1K1O2  57  (Pbcm)
As1K1O3  19  (P212121)
As1K1O3  2  (P-1)
As1K1O3  60  (Pbcn)
As1K3S3  198  (P213)
As1K3S4  33  (Pna21)
As1O3Y1  160  (R3m)
As1O4P1  62  (Pnma)
As1O4Y1  141  (I41/amd)
As1O5P1  19  (P212121)
As1O5V1  14  (P21/c)
As2B1K3  15  (C2/c)
As2F7K1  14  (P21/c)
As2O6S1  18  (P21212)
As2O9S2  14  (P21/c)
As2P2S7  14  (P21/c)
As4F6S4  57  (Pbcm)
Au1F1O2  4  (P21)
Au1F4K1  140  (I4/mcm)
Au1F6K1  166  (R-3m)
Au1I3K1  14  (P21/c)
Au1I4K1  14  (P21/c)
Au1K1O2  47  (Pmmm)
B1Na3O3  14  (P21/c)
B1Na3P2  14  (P21/c)
B1Na3S3  15  (C2/c)
B1Nb1O4  141  (I41/amd)
B1O2Tl1  76  (P41)
B1O3Sb1  160  (R3m)
B1O3Sc1  167  (R-3c)
B1O3Tl3  176  (P63/m)
B1O4Ta1  141  (I41/amd)
B1P2Rb3  15  (C2/c)
B1Rb1S3  14  (P21/c)
B1Rb3S3  14  (P21/c)
B1S2Tl1  166  (R-3m)
B1S3Tl1  14  (P21/c)
B1S3Tl3  11  (P21/m)
B2Ba1F8  12  (C2/m)
B2Ba1O4  167  (R-3c)
B2Ba1O4  161  (R3c)
B2Ba1O4  146  (R3)
B2Ba1S4  9  (Cc)
B2Ba3N4  19  (P212121)
B2Bi4O9  14  (P21/c)
B2Ca1O4  56  (Pccn)
B2Ca1O4  60  (Pbcn)
B2Ca2O5  19  (P212121)
B3O5Tl1  15  (C2/c)
B3O6Rb3  167  (R-3c)
B3O6Tb1  14  (P21/c)
B3Rb3S6  167  (R-3c)
B4Ba1O7  62  (Pnma)
B4Br4P2  14  (P21/c)
B4Ca1O7  31  (Pmn21)
B4Co1U1  55  (Pbam)
B4Cr1Y1  55  (Pbam)
B4Dy1V1  55  (Pbam)
B4Gd1V1  55  (Pbam)
B4Hg1O7  31  (Pmn21)
B4Li2O7  110  (I41cd)
B4Mn1U1  55  (Pbam)
B4Mo1Y1  55  (Pbam)
B4Mo2O9  137  (P42/nmc)
B4Na2O7  2  (P-1)
B4Ni1O7  63  (Cmcm)
B4O7Pb1  31  (Pmn21)
B4O7Rb2  2  (P-1)
B4O7Sn1  31  (Pmn21)
B4O7Sr1  31  (Pmn21)
B4O7Zn1  63  (Cmcm)
B4O8Th1  15  (C2/c)
B4Os1U1  65  (Cmmm)
Be1F4K2  62  (Pnma)
Be1F4K2  33  (Pna21)
Be1F5K3  130  (P4/ncc)
Be1K4P2  166  (R-3m)
Be1N4P2  148  (R-3)
Be1O4S1  82  (I-4)
Be1O4Y2  62  (Pnma)
Be1O6P2  14  (P21/c)
Be1O6P2  20  (C2221)
Be2K4O4  14  (P21/c)
Be3K4O5  15  (C2/c)
Bi1F1O1  129  (P4/nmm)
Bi1F1O1  63  (Cmcm)
Bi1F1O1  164  (P-3m1)
Bi1F1O1  62  (Pnma)
Bi1F5K2  62  (Pnma)
Bi1F6K1  206  (Ia-3)
Bi1F6K1  116  (P-4c2)
Bi1I1O1  129  (P4/nmm)
Bi1I1O4  29  (Pca21)
Bi1I1S1  62  (Pnma)
Bi1I3O9  14  (P21/c)
Bi1K1O2  15  (C2/c)
Bi1K1O3  201  (Pn-3)
Bi1K3O3  217  (I-43m)
C1B1La1  19  (P212121)
C1B1Li1  194  (P63/mmc)
C1B1Th1  91  (P4122)
C1B2Ce1  166  (R-3m)
C1B2Dy1  135  (P42/mbc)
C1B2Lu1  55  (Pbam)
C1B2Th1  166  (R-3m)
C1Ba1N2  167  (R-3c)
C1Ba1O3  160  (R3m)
C1Ba1O3  62  (Pnma)
C1Be1N2  122  (I-42d)
C1Be1N2  33  (Pna21)
C1Bi2O5  44  (Imm2)
C1Br1N1  59  (Pmmn)
C1Br3F1  62  (Pnma)
C1Ca1N2  166  (R-3m)
C1Ca1O3  14  (P21/c)
C1Ca1O3  5  (C2)
C1Ca1O3  59  (Pmmn)
C1Ca1O3  20  (C2221)
C1Ca1O3  167  (R-3c)
C1Ca1O3  15  (C2/c)
C1Ca1O3  62  (Pnma)
C1Ca1O3  2  (P-1)
C1Ca4N4  62  (Pnma)
C1N4Sr4  62  (Pnma)
C1Na2O3  194  (P63/mmc)
C1Na2O3  12  (C2/m)
C1Na2S3  15  (C2/c)
C1Na4O4  215  (P-43m)
C1Na4O4  160  (R3m)
C1Na4O4  121  (I-42m)
C1Na4O4  5  (C2)
C1Na4O4  8  (Cm)
C1Na4O4  146  (R3)
C1O3Pb1  14  (P21/c)
C1O3Pb1  62  (Pnma)
C1O3Rb2  62  (Pnma)
C1O3Rb2  14  (P21/c)
C1O3Sr1  62  (Pnma)
C1O3Tl2  12  (C2/m)
C1O3Zn1  167  (R-3c)
C1O4Pb2  19  (P212121)
C1O4Rb4  215  (P-43m)
C1O4Rb4  160  (R3m)
C1O4Rb4  121  (I-42m)
C1O4Rb4  146  (R3)
C1O4Rb4  23  (I222)
C1O4Rb4  81  (P-4)
C1O4Rb4  38  (Amm2)
C2N3Rb1  15  (C2/c)
C2N4Si1  224  (Pn-3m)
C2Na2O4  14  (P21/c)
C2Ni1O4  14  (P21/c)
C2O4Pb1  2  (P-1)
C2O4Rb2  14  (P21/c)
C2O4Rb2  55  (Pbam)
C2O4Sn1  15  (C2/c)
C2O4Tl2  14  (P21/c)
C2O4Zn1  14  (P21/c)
C2O6Rb2  14  (P21/c)
C2O6Si1  14  (P21/c)
C2Si2U3  139  (I4/mmm)
C3Al3Y1  194  (P63/mmc)
C3Al5N1  186  (P63mc)
C3Al6N2  160  (R3m)
C3As1N3  5  (C2)
C3B1Lu3  63  (Cmcm)
C3Lu2N6  167  (R-3c)
C3Lu2N6  155  (R32)
C4Ag1N3  46  (Ima2)
C4Ag2O4  15  (C2/c)
C4Ba1O4  140  (I4/mcm)
C4Ca1N6  15  (C2/c)
C4Ca1O4  141  (I41/amd)
Ca2N3V1  15  (C2/c)
Ca2O5U1  14  (P21/c)
Ca2O7P2  14  (P21/c)
Ca2O7V2  2  (P-1)
Ca2P2S6  14  (P21/c)
Ca3I3P1  214  (I4132)
Ca3N1P1  221  (Pm-3m)
Ca3N3V1  11  (P21/m)
Ca3N3V1  63  (Cmcm)
Ca3O6U1  4  (P21)
Ca3O6U1  14  (P21/c)
Ca3O6W1  14  (P21/c)
Ca3O8P2  166  (R-3m)
Ca3O8V2  12  (C2/m)
Ca4O1P2  139  (I4/mmm)
Ca5N5V1  57  (Pbcm)
Cd1F3K1  221  (Pm-3m)
Cd1F3K1  62  (Pnma)
Cd1I2O6  19  (P212121)
Cd1K2O2  60  (Pbcn)
Cd1K6O4  186  (P63mc)
Cd1O3S1  14  (P21/c)
Cd1O3S1  148  (R-3)
Cd1O4S1  156  (P3m1)
Cd1O4S1  63  (Cmcm)
Cl3O1P1  33  (Pna21)
Cl3O1V1  62  (Pnma)
Cl3O1W1  136  (P42/mnm)
Cl4I1K1  14  (P21/c)
Cl4I8W6  64  (Cmce)
Cl4N1V1  2  (P-1)
Cl4O1W1  79  (I4)
Cl4S1W1  2  (P-1)
Cl4S1W1  14  (P21/c)
Cl6I1P1  113  (P-421m)
Cl6N3P3  62  (Pnma)
Cl6S8W1  2  (P-1)
Cl7I1S1  14  (P21/c)
Cl8I1P1  74  (Imma)
Cl8N4P4  86  (P42/n)
Cl9K3W2  176  (P63/m)
Cl9N1W2  14  (P21/c)
Co1K2O2  14  (P21/c)
Co1O3Y1  62  (Pnma)
Co1O4P1  62  (Pnma)
Co2K6O7  14  (P21/c)
Co2O7P2  14  (P21/c)
Co2P2S6  12  (C2/m)
Co3N1W3  227  (Fd-3m)
Cr1F2O2  14  (P21/c)
Cu1S4V2  44  (Imm2)
Cu2F7K3  139  (I4/mmm)
Cu2O4P1  2  (P-1)
Cu2O4S1  70  (Fddd)
Cu2O4W1  2  (P-1)
Cu2O4W1  1  (P1)
Cu2O5S1  12  (C2/m)
Cu2O5Y2  62  (Pnma)
Cu2O5Y2  33  (Pna21)
Cu2O7P2  12  (C2/m)
Cu2O7V2  1  (P1)
Cu2O7V2  2  (P-1)
Cu2P2S6  136  (P42/mnm)
Cu2P2U1  164  (P-3m1)
Cu2S4W1  111  (P-42m)
Cu2S4W1  121  (I-42m)
Cu3K1S2  12  (C2/m)
Cu3K3P2  166  (R-3m)
Cu3O4V1  121  (I-42m)
Cu3P1S4  31  (Pmn21)
Cu3S4V1  215  (P-43m)
Cu4O9P2  2  (P-1)
Cu4O9P2  62  (Pnma)
Cu5K3O4  14  (P21/c)
Cu7P1S6  198  (P213)
F3O2Re1  14  (P21/c)
F3O2Re1  64  (Cmce)
F3O2Tc1  2  (P-1)
F4Fe1K1  31  (Pmn21)
F4Ga1K1  62  (Pnma)
F4K1Mn1  14  (P21/c)
F4K1Pr1  62  (Pnma)
F4K1Sb1  59  (Pmmn)
F4K1Sc1  12  (C2/m)
F4K1Tl1  144  (P31)
F4K2Mg1  139  (I4/mmm)
F4K2Pd1  12  (C2/m)
F4K2Zn1  139  (I4/mmm)
F4Li1Y1  13  (P2/c)
F4Li1Y1  88  (I41/a)
F4Li1Y1  15  (C2/c)
F4Mo1O1  14  (P21/c)
F4O1Os1  19  (P212121)
F4O1Os1  14  (P21/c)
F4O1Ru1  19  (P212121)
F4O1Ru1  14  (P21/c)
F4O2Sn4  12  (C2/m)
F4O5Tc2  14  (P21/c)
F5K1Pd2  62  (Pnma)
F5K1Te1  57  (Pbcm)
F7K2Nb1  14  (P21/c)
F7K2Pa1  15  (C2/c)
F7K2Ta1  14  (P21/c)
F7K2Ta1  62  (Pnma)
F7K3Mn2  139  (I4/mmm)
F7K3Ni2  139  (I4/mmm)
F7K3Si1  127  (P4/mbm)
F7K3Zn2  139  (I4/mmm)
F7Sn1Y1  4  (P21)
F7Sn1Y1  14  (P21/c)
F8I2Pb5  160  (R3m)
F8K3Ta1  186  (P63mc)
F8Li4U1  62  (Pnma)
F8Na2U1  139  (I4/mmm)
F9K1Te2  2  (P-1)
F9K5Th1  36  (Cmc21)
F9Mn2O2  15  (C2/c)
Fe1O3S1  148  (R-3)
Fe1O4S1  62  (Pnma)
Fe1O4S1  63  (Cmcm)
Fe1O4U1  60  (Pbcn)
Fe1O4W1  13  (P2/c)
Fe1P1S1  14  (P21/c)
Fe1P1S3  12  (C2/m)
Fe1S4V2  12  (C2/m)
H1Co1O2  194  (P63/mmc)
H1Cs1F2  140  (I4/mcm)
H1Cu1O2  31  (Pmn21)
H1F2Na1  166  (R-3m)
H1F2Rb1  140  (I4/mcm)
H1F7Xe1  148  (R-3)
H1Ga1O2  62  (Pnma)
H1Ga1O2  31  (Pmn21)
H1Ga1O2  58  (Pnnm)
H1Ga1O2  205  (Pa-3)
H1Ga1O2  14  (P21/c)
H1Ga5O8  186  (P63mc)
H1I1Sr1  129  (P4/nmm)
H1In1O2  31  (Pmn21)
H1In1O2  198  (P213)
H1In1O2  58  (Pnnm)
H1In1O2  205  (Pa-3)
H1In1O2  14  (P21/c)
H1La1O1  129  (P4/nmm)
H1Li1O1  129  (P4/nmm)
H1Li1S1  135  (P42/mbc)
H1Li1S1  26  (Pmc21)
H1Li1S1  40  (Ama2)
H1Li2N1  46  (Ima2)
H1Li2N1  62  (Pnma)
H2O4Pb3  114  (P-421c)
H2O4Se1  19  (P212121)
H2O6Te2  33  (Pna21)
H2O7Ti3  12  (C2/m)
H3Al1O3  19  (P212121)
H3Al1O3  62  (Pnma)
H3Al1O3  1  (P1)
H3Al1O3  2  (P-1)
H3Al1O3  14  (P21/c)
H3Ba2I1  164  (P-3m1)
H3Be1K1  14  (P21/c)
H3Ca1K1  62  (Pnma)
H3Cl1O5  62  (Pnma)
H3Cl1O5  14  (P21/c)
H3Cs1O2  141  (I41/amd)
H3F1Si1  14  (P21/c)
H3I1Si1  14  (P21/c)
H3I1Sr2  164  (P-3m1)
H3K1Mg1  221  (Pm-3m)
H3K1Si1  62  (Pnma)
H3La1O3  176  (P63/m)
H3Li1O2  12  (C2/m)
H3Na1O2  61  (Pbca)
H3O2Rb1  36  (Cmc21)
H4Al1K1  88  (I41/a)
H8B2Ca1  70  (Fddd)
H8B2Ca1  43  (Fdd2)
H8B2Ca1  15  (C2/c)
H8B2Ca1  122  (I-42d)
H8B2Ca1  81  (P-4)
H8B2Ca1  84  (P42/m)
H8B2Ca1  77  (P42)
H8B2Cd1  102  (P42nm)
H8B2Mg1  26  (Pmc21)
H8B2Mg1  22  (F222)
H8B2Mg1  119  (I-4m2)
H8B2Mg1  141  (I41/amd)
H8B2Mg1  227  (Fd-3m)
H8B2Mg1  142  (I41/acd)
H8B2Mg1  81  (P-4)
H8B2Mg1  70  (Fddd)
H8B2Mg1  164  (P-3m1)
H8B2Mg1  102  (P42nm)
H8B2Mn1  70  (Fddd)
H8B2Sr1  92  (P41212)
H8B2Sr1  60  (Pbcn)
H8B2Zn1  26  (Pmc21)
H8B2Zn1  98  (I4122)
H8B3Cs1  40  (Ama2)
H8B3Na1  31  (Pmn21)
Ho1K1S2  166  (R-3m)
Ho1O4V1  141  (I41/amd)
Ho2N7P3  113  (P-421m)
I1K4P21  63  (Cmcm)
I1La1O1  129  (P4/nmm)
I1Li1O3  182  (P6322)
I1Li1O3  173  (P63)
I1Li1O3  86  (P42/n)
I1Li1O3  33  (Pna21)
I1Li1O4  14  (P21/c)
I1Lu1O1  129  (P4/nmm)
I1N1Sr2  166  (R-3m)
I1N1Th1  129  (P4/nmm)
I1N1Zn2  62  (Pnma)
I1N1Zr1  59  (Pmmn)
I1N1Zr1  166  (R-3m)
I1N3Rb2  127  (P4/mbm)
I1Na1O3  33  (Pna21)
I1Na1O3  62  (Pnma)
I1Na1O4  88  (I41/a)
I1Nb1O2  62  (Pnma)
I1Np1O5  33  (Pna21)
I1O1Pr1  129  (P4/nmm)
I1O1Rb3  194  (P63/mmc)
I1O1Sc1  12  (C2/m)
In1K3P2  72  (Ibam)
In1O3Y1  185  (P63cm)
In1O4P1  63  (Cmcm)
In1O4P1  62  (Pnma)
In1O4V1  12  (C2/m)
In1O4V1  63  (Cmcm)
In1O4V1  13  (P2/c)
In1O9P3  9  (Cc)
In1P1S4  82  (I-4)
In1S6Y3  18  (P21212)
In2O5P1  2  (P-1)
In2O7P2  14  (P21/c)
In3O8P2  220  (I-43d)
In5K1S8  12  (C2/m)
Ir1K1O3  201  (Pn-3)
Ir1O9P3  2  (P-1)
K1La1O2  166  (R-3m)
K1La1S2  166  (R-3m)
K1Li1O1  64  (Cmce)
K1Li1S1  129  (P4/nmm)
K1Lu1S2  166  (R-3m)
K1Mg1P1  129  (P4/nmm)
K1Mn1O2  11  (P21/m)
K1Mn1O2  119  (I-4m2)
K1Mn1O4  62  (Pnma)
K2O3Zr1  62  (Pnma)
K2O4Pb2  2  (P-1)
K2O4Se1  62  (Pnma)
K2O4Zn3  15  (C2/c)
K2O5Te2  14  (P21/c)
K2O5Ti2  12  (C2/m)
K2O5Zr2  52  (Pnna)
K2O7Se2  15  (C2/c)
K2O7Sn3  62  (Pnma)
K2O7Zn6  102  (P42nm)
K2O9Si4  176  (P63/m)
K2O9Te4  14  (P21/c)
K2O9Ti4  12  (C2/m)
K2P2Pd1  63  (Cmcm)
K2P2Si1  72  (Ibam)
K2Pd1S2  71  (Immm)
K2Pt1S2  71  (Immm)
K2Pt4S6  166  (R-3m)
K2Re3S6  15  (C2/c)
K2S3Te1  14  (P21/c)
K2S3Ti1  15  (C2/c)
K2S4Zr1  61  (Pbca)
K2S5Sn2  15  (C2/c)
K2S7Sb4  15  (C2/c)
K2S8Sn2  14  (P21/c)
La2O6W1  31  (Pmn21)
La2O9W2  2  (P-1)
La3N1S3  62  (Pnma)
La4N2S3  58  (Pnnm)
Li1N1O3  167  (R-3c)
Li1N2P1  122  (I-42d)
Li1O2V1  166  (R-3m)
Li1O2Y1  14  (P21/c)
Li1O3V1  9  (Cc)
Li1O3V1  15  (C2/c)
Li1O8V3  11  (P21/m)
Li1S2Y1  166  (R-3m)
Li2N2U1  147  (P-3)
Li2O4S1  14  (P21/c)
Li2O4S1  63  (Cmcm)
Li2O4U1  69  (Fmmm)
Li2O4U1  62  (Pnma)
Li2O4W1  141  (I41/amd)
Li2O4W1  15  (C2/c)
Li2O4W1  148  (R-3)
Li2O7S2  62  (Pnma)
Li2O7W2  2  (P-1)
Li2S3U1  12  (C2/m)
Li3O4P1  31  (Pmn21)
Li3O4P1  62  (Pnma)
Mo1O8V2  35  (Cmm2)
Mo2S4V1  9  (Cc)
N1Na1O2  44  (Imm2)
N1Na1O3  167  (R-3c)
N1Nb1O1  14  (P21/c)
N1O1Ta1  12  (C2/m)
N1O1Ta1  14  (P21/c)
N1O2Tl1  152  (P3121)
N1O3Rb1  59  (Pmmn)
N1O3Rb1  145  (P32)
N1O3Rb1  144  (P31)
N1O3Tl1  62  (Pnma)
N1O6Ta3  8  (Cm)
N1Te3Y3  14  (P21/c)
N1V3Zn2  213  (P4132)
N2Na1P1  122  (I-42d)
N2Na2O2  14  (P21/c)
N2O1Sb2  99  (P4mm)
N2O1Si2  141  (I41/amd)
N2O1Si2  12  (C2/m)
N2O1Si2  15  (C2/c)
N2O1Si2  36  (Cmc21)
N2O1Zr2  8  (Cm)
N2O14S3  9  (Cc)
N2O6Pb1  205  (Pa-3)
Na2P2S6  11  (P21/m)
Na2S3U1  12  (C2/m)
Na3O9P3  62  (Pnma)
Na3P1S4  114  (P-421c)
Na4O5U1  87  (I4/m)
Na4O5W1  2  (P-1)
Na4O7P2  19  (P212121)
Na4P2S6  12  (C2/m)
Na5O5V1  57  (Pbcm)
Na6O9S2  225  (Fm-3m)
Na6P4W1  186  (P63mc)
Nb1O4Y1  15  (C2/c)
Nb1O4Y1  88  (I41/a)
Nb1O5P1  85  (P4/n)
Nb1O5P1  129  (P4/nmm)
Nb1O5P1  33  (Pna21)
Nb1O5P1  62  (Pnma)
Nb1O5P1  14  (P21/c)
Nb1P1S1  71  (Immm)
Nb1P2S8  64  (Cmce)
Nb1P2S8  118  (P-4n2)
Nb2O7U1  63  (Cmcm)
Ni1O3Y1  14  (P21/c)
Ni1O4S1  63  (Cmcm)
Ni1O6U2  150  (P321)
O4Pd1S1  23  (I222)
O4Pd1S1  72  (Ibam)
O4Pd1S1  1  (P1)
O4Pd1S1  84  (P42/m)
O4Pt1S1  15  (C2/c)
O4Pt1S1  82  (I-4)
O4Pt1S1  23  (I222)
O4Pt1S1  72  (Ibam)
O4Pt1S1  1  (P1)
O4Pt1S1  84  (P42/m)
O4Rb2S1  62  (Pnma)
O4Rb2U1  139  (I4/mmm)
O4Rb2W1  12  (C2/m)
O4S1Sn1  62  (Pnma)
O4S1Sn1  14  (P21/c)
O4S1Sn1  2  (P-1)
O4S1Sr1  216  (F-43m)
O4S1Sr1  62  (Pnma)
O4S1Tl2  62  (Pnma)
O4S1Zn1  216  (F-43m)
O4S1Zn1  62  (Pnma)
O4Sb1V1  109  (I41md)
O4Sc1V1  141  (I41/amd)
O4Sc1V1  88  (I41/a)
O4Sn1W1  198  (P213)
O6Sb2U1  12  (C2/m)
O6Sb2W1  1  (P1)
O6Se1U1  14  (P21/c)
O6Sn3W1  15  (C2/c)
O6Sr1V2  62  (Pnma)
O6Sr3U1  4  (P21)
O6Sr3U1  14  (P21/c)
O6Te1Y2  19  (P212121)
O6Ti2U1  12  (C2/m)
O6V2Zn1  5  (C2)
O6V2Zn1  12  (C2/m)
O7P2Pb2  2  (P-1)
O7P2Pd2  15  (C2/c)
O7P2Pt1  14  (P21/c)
O7P2Si1  205  (Pa-3)
O7P2Si1  173  (P63)
O7P2Si1  14  (P21/c)
O7P2Sn1  205  (Pa-3)
O7P2Sn2  2  (P-1)
O7P2Sn2  14  (P21/c)
O7P2Sr2  33  (Pna21)
O7P2Sr2  62  (Pnma)
O7P2Th1  205  (Pa-3)
O7P2Ti1  205  (Pa-3)
O7P2Zn2  12  (C2/m)
O9P2Te2  9  (Cc)
O9P2Th2  64  (Cmce)
O9P2Ti2  2  (P-1)
O9P2Zr2  12  (C2/m)
O9P2Zr2  64  (Cmce)
O9Rb2V4  84  (P42/m)
O9S1Zr3  147  (P-3)
O9S2Sb2  92  (P41212)
O9S2Zn3  11  (P21/m)
O9Se2V2  14  (P21/c)
O9Ti3V2  15  (C2/c)
Os1P1S1  14  (P21/c)
P1Pb1S3  7  (Pc)
P1Pd1S1  60  (Pbcn)
P1Pr1S4  142  (I41/acd)
P1Rb3S4  62  (Pnma)
P1Ru1S1  14  (P21/c)
P1S1Ta1  71  (Immm)
P1S3Zn1  12  (C2/m)
P1S4Sc1  2  (P-1)
P1S4Tl3  62  (Pnma)
P1S4Yb1  142  (I41/acd)
P1V1Zr1  62  (Pnma)
P2Pb2S6  14  (P21/c)
P2Pb2S6  7  (Pc)
Ag1Cl1O2  67  (Cmme)
Ag1Cl1O2  54  (Pcca)
Ag1Cl1O2  1  (P1)
Ag1Cl1O3  87  (I4/m)
Ag1Cl1O4  216  (F-43m)
Ag1Cl1O4  11  (P21/m)
Ag1Cl1O4  121  (I-42m)
Ag1Cl1O4  62  (Pnma)
Ag1Co1O2  194  (P63/mmc)
Ag1Cs1O1  119  (I-4m2)
Ag1Cs1O1  139  (I4/mmm)
Ag1Cs1O2  63  (Cmcm)
Ag1Cs2I3  62  (Pnma)
Ag1Cu1O2  12  (C2/m)
Ag1Cu1O2  47  (Pmmm)
Ag1Cu1S1  63  (Cmcm)
Ag1Cu1S1  26  (Pmc21)
Ag1Cu1S1  36  (Cmc21)
Ag1F3Zn1  221  (Pm-3m)
Ag1F4Na1  140  (I4/mcm)
Ag1F6Sb1  206  (Ia-3)
Ag1F6Ta1  132  (P42/mcm)
Ag1F9Xe1  87  (I4/m)
Ag1Ga1O2  194  (P63/mmc)
Ag1Ga1O2  33  (Pna21)
Ag1S3Ta1  63  (Cmcm)
Ag1Se2Y1  19  (P212121)
Ag1Te2Y1  113  (P-421m)
Ag2Ba1S2  164  (P-3m1)
Ag2Bi1O3  34  (Pnn2)
