BCS-ID;MSG;chem. formula;ICSD;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.167;2.7;Ni S2;76684;'0.0';0.0049;'Trivial';0;'1.0';;;;'2.0';;;;'3.0';0.8541;'Trivial';0;'4.0';1.1823;'Trivial';0;'5.0';;;;'6.0';;;
1.177;2.7;Sr2 Cu W O6;193615;'0.0';0.3264;'Trivial';0;'1.0';;;;'2.0';;;;'3.0';;;;'4.0';0.007;'Trivial';0;'5.0';;;;'6.0';;;
1.18;2.7;Na3 Co2 Sb O6;245538;'0.0';0.034;'Trivial';0;'1.0';0.7194;'Trivial';0;'2.0';1.3475;'Trivial';0;'3.0';1.924;'Trivial';0;'4.0';2.1767;'Trivial';0;'5.0';;;;'6.0';;;
1.182;2.7;Tl Mn O3;;'0.0';0.0826;'Trivial';0;'1.0';0.1627;'Trivial';0;'2.0';0.245;'Trivial';0;'3.0';0.3541;'Trivial';0;'4.0';0.4866;'Trivial';0;'5.0';;;;'6.0';;;
1.19;2.7;Y1 Cr1 B2 O6;189501;'0.0';2.0103;'Trivial';0;'1.0';2.6332;'Trivial';0;'2.0';3.0587;'Trivial';0;'3.0';3.4429;'Trivial';0;'4.0';3.7698;'Trivial';0;'5.0';;;;'6.0';;;
1.191;2.7;Ho1 Cr1 B2 O6;189502;'0.0';;;;'1.0';;;;'2.0';;;;'3.0';;;;'4.0';;;;'5.0';;;;'6.0';;;
1.193;2.7;Cr Te3;;'0.0';0.3342;'Trivial';0;'1.0';;;;'2.0';0.3642;'Trivial';0;'3.0';0.3589;'Trivial';0;'4.0';0.3481;'Trivial';0;'5.0';;;;'6.0';;;
1.206;2.7;Dy2 Fe2 Si2 C1;;'0.0';;;;'1.0';;;;'2.0';0.0137;'TI';0;'3.0';;;;'4.0';0.0373;'TI';0;'5.0';;;;'6.0';;;
1.21;2.7;Fe1 P1 Se3;54141;'0.0';0.0192;'Trivial';0;'1.0';0.2904;'Trivial';0;'2.0';0.8029;'Trivial';0;'3.0';1.2324;'Trivial';0;'4.0';1.4677;'Trivial';0;'5.0';;;;'6.0';;;
1.218;2.7;Ba1 Tm2 Ni1 O5;72631;'0.0';;;;'1.0';;;;'2.0';;;;'3.0';;;;'4.0';0.5519;'Trivial';0;'5.0';;;;'6.0';;;
1.219;2.7;Cu1 F2;9790;'0.0';0.5806;'Trivial';0;'1.0';0.7068;'Trivial';0;'2.0';0.7068;'Trivial';0;'3.0';0.7069;'Trivial';0;'4.0';0.7069;'Trivial';0;'5.0';;;;'6.0';;;
1.229;2.7;Ba1 Mo1 P2 O8;79507;'0.0';0.1019;'Trivial';0;'1.0';0.362;'Trivial';0;'2.0';0.7754;'Trivial';0;'3.0';1.1869;'Trivial';0;'4.0';1.8404;'Trivial';0;'5.0';;;;'6.0';;;
1.24;2.7;Fe1 I2;52369;'0.0';0.0083;'Trivial';0;'1.0';0.7012;'Trivial';0;'2.0';1.3106;'Trivial';0;'3.0';1.6683;'Trivial';0;'4.0';1.9665;'Trivial';0;'5.0';;;;'6.0';;;
1.244;2.7;Cr1 Cl3;22081;'0.0';1.7382;'Trivial';0;'1.0';2.1986;'Trivial';0;'2.0';2.4779;'Trivial';0;'3.0';2.7055;'Trivial';0;'4.0';2.8566;'Trivial';0;'5.0';;;;'6.0';;;
1.256;2.7;Ba1 V2 Ni2 O8;96087;'0.0';1.0281;'Trivial';0;'1.0';1.7134;'Trivial';0;'2.0';2.151;'Trivial';0;'3.0';2.5536;'Trivial';0;'4.0';2.9159;'Trivial';0;'5.0';;;;'6.0';;;
1.257;2.7;Ba1 Ni2 As2 O8;27014;'0.0';1.3109;'Trivial';0;'1.0';2.2106;'Trivial';0;'2.0';2.5945;'Trivial';0;'3.0';2.7083;'Trivial';0;'4.0';2.77;'Trivial';0;'5.0';;;;'6.0';;;
1.38;2.7;Nd2 Na Os O6;;'0.0';;;;'1.0';;;;'2.0';;;;'3.0';;;;'4.0';;;;'5.0';;;;'6.0';;;
1.57;2.7;Cu Mn O2;;'0.0';0.6901;'Trivial';0;'1.0';0.921;'Trivial';0;'2.0';1.0594;'Trivial';0;'3.0';1.1513;'Trivial';0;'4.0';1.2028;'Trivial';0;'5.0';;;;'6.0';;;
1.66;2.7;D6 Fe1 P1 N2 O4;160964;'0.0';;;;'1.0';;;;'2.0';;;;'3.0';;;;'4.0';;;;'5.0';;;;'6.0';;;
2.18;2.7;Sc2 Mn1 Ni1 O6;251833;'0.0';;;;'1.0';1.4402;'Trivial';0;'2.0';1.6939;'Trivial';0;'3.0';1.8483;'Trivial';0;'4.0';1.9469;'Trivial';0;'5.0';;;;'6.0';;;
1.26;2.7;Na1 Mn1 Ge2 O6;237747;'0.0';0.5963;'Trivial';0;'1.0';0.9265;'Trivial';0;'2.0';1.1822;'Trivial';0;'3.0';1.4045;'Trivial';0;'4.0';1.5901;'Trivial';0;'5.0';;;;'6.0';;;
1.278;2.7;Cu1 C2 N2 S2;;'0.0';0.5589;'Trivial';0;'1.0';0.6982;'Trivial';0;'2.0';0.8309;'Trivial';0;'3.0';;;;'4.0';;;;'5.0';;;;'6.0';;;
1.286;2.7;Fe1 C3 O8 H4;241460;'0.0';0.3004;'Trivial';0;'1.0';0.0048;'Trivial';0;'2.0';0.0083;'Trivial';0;'3.0';0.0313;'Trivial';0;'4.0';0.6629;'Trivial';0;'5.0';;;;'6.0';;;
1.304;2.7;Mg1 Mn1 O3;;'0.0';1.7769;'Trivial';0;'1.0';2.1801;'Trivial';0;'2.0';2.4192;'Trivial';0;'3.0';;;;'4.0';;;;'5.0';;;;'6.0';;;
1.311;2.7;Ba1 Mo1 P2 O8;;'0.0';0.0931;'Trivial';0;'1.0';0.4655;'Trivial';0;'2.0';0.9334;'Trivial';0;'3.0';1.3847;'Trivial';0;'4.0';1.8291;'Trivial';0;'5.0';;;;'6.0';;;
1.321;2.7;Ba2 Fe1 W1 O6;95518;'0.0';0.0254;'Trivial';0;'1.0';0.0292;'Trivial';0;'2.0';0.0268;'Trivial';0;'3.0';1.022;'Trivial';0;'4.0';1.3765;'Trivial';0;'5.0';;;;'6.0';;;
1.363;2.7;Tb1 Cu2 Si2;55784;'0.0';0.0146;'Trivial';1;'1.0';0.0579;'Trivial';1;'2.0';0.0185;'ESFD (SM)';0;'3.0';0.0242;'TI';0;'4.0';;;;'5.0';;;;'6.0';0.0065;'Trivial';1
1.364;2.7;Ho1 Cu2 Si2;55786;'0.0';0.0156;'Trivial';1;'1.0';;;;'2.0';0.0074;'Trivial';1;'3.0';;;;'4.0';0.0164;'Trivial';1;'5.0';;;;'6.0';;;
1.365;2.7;Cu2 Si2 Tb1;629186;'0.0';0.0175;'Trivial';1;'1.0';0.0404;'Trivial';1;'2.0';0.0032;'TI';0;'3.0';0.0234;'TI';0;'4.0';0.0235;'TI';0;'5.0';;;;'6.0';0.0131;'TI';0
1.5;2.7;Co1 Cu2 S2 Sr2 O2;;'0.0';;;;'1.0';0.0196;'Trivial';0;'2.0';0.001;'Trivial';0;'3.0';0.003;'Trivial';0;'4.0';0.0054;'Trivial';0;'5.0';0.0049;'Trivial';0;'6.0';0.0003;'Trivial';0
1.58;2.7;Ni1 Ti1 O3;;'0.0';1.1006;'Trivial';0;'1.0';1.6331;'Trivial';0;'2.0';2.1598;'Trivial';0;'3.0';2.6437;'Trivial';0;'4.0';3.0845;'Trivial';0;'5.0';;;;'6.0';;;
1.596;2.7;Tb1 Cu1 Sb2;93339;'0.0';0.0117;'Trivial';1;'1.0';;;;'2.0';;;;'3.0';;;;'4.0';;;;'5.0';;;;'6.0';0.0428;'Trivial';1
1.617;2.7;Mo2 Fe1 Li1 O8;;'0.0';0.9523;'Trivial';0;'1.0';;;;'2.0';;;;'3.0';;;;'4.0';2.5436;'Trivial';0;'5.0';;;;'6.0';;;
1.661;2.7;La2 Ni1 Ir1 O6;;'0.0';0.0997;'Trivial';0;'1.0';0.467;'Trivial';0;'2.0';0.8016;'Trivial';0;'3.0';1.1452;'Trivial';0;'4.0';1.5167;'Trivial';0;'5.0';;;;'6.0';;;
