Compound  SmmetryNum  SymetGroup
C1P1 225  (Fm-3m)  
C1Ru1  225  (Fm-3m)
C1Ta2  164  (P-3m1)
C1Tb2  166  (R-3m)
C1Th1  221  (Pm-3m)
C1Ti2  227  (Fd-3m)
C1Zr1  225  (Fm-3m)
C1Zr2  227  (Fd-3m)
C2Ca1  12  (C2/m)
C2Ca1  12  (C2/m)
C2Ca1  191  (P6/mmm)
C2Cr3  63  (Cmcm)
C2Cr3  62  (Pnma)
C2Cr3  62  (Pnma)
C2Er1  139  (I4/mmm)
C2Fe5  15  (C2/c)
C2Gd1  139  (I4/mmm)
C2Nd1  139  (I4/mmm)
C2Nd1  139  (I4/mmm)
C2Si1  58  (Pnnm)
C2Yb1  139  (I4/mmm)
C3Am2  220  (I-43d)
C3Cr7  62  (Pnma)
C3Fe7  62  (Pnma)
C3La2  220  (I-43d)
C3Lu2  220  (I-43d)
C3Nd2  220  (I-43d)
C3Os2  60  (Pbcn)
C3Sc2  220  (I-43d)
C3Zr4  15  (C2/c)
C3Zr4  12  (C2/m)
C4Ir1  61  (Pbca)
C5Nb6  12  (C2/m)
C5Nb6  12  (C2/m)
C5Tb4  55  (Pbam)
C5Ti8  166  (R-3m)
Ca1P3  2  (P-1)
Cd3N2  206  (Ia-3)
Ce1O1  225  (Fm-3m)
Ce1O2  164  (P-3m1)
Ce1P2  14  (P21/c)
Ce1S1  225  (Fm-3m)
Ce1S2  14  (P21/c)
Ce1S2  129  (P4/nmm)
Ce2O3  206  (Ia-3)
Ce2O3  164  (P-3m1)
Ce2O3  164  (P-3m1)
Cl3V1  148  (R-3)
Cl4V1  14  (P21/c)
Co1N1  225  (Fm-3m)
Co1N3  204  (Im-3)
Co1P1  62  (Pnma)
Co1Y1  166  (R-3m)
Co1Y3  62  (Pnma)
Co2U1  227  (Fd-3m)
Co3V1  221  (Pm-3m)
Co3V1  194  (P63/mmc)
Co3Y1  166  (R-3m)
Co7Y2  166  (R-3m)
Cr1N2  194  (P63/mmc)
Cr1O2  60  (Pbcn)
Cr1P4  15  (C2/c)
Cr1S1  194  (P63/mmc)
Cr1S2  12  (C2/m)
Cr2O3  167  (R-3c)
Cr2S3  148  (R-3)
Cr2S3  148  (R-3)
Cr3O8  12  (C2/m)
Cr3P1  82  (I-4)
Cr3S4  12  (C2/m)
Cr3S4  12  (C2/m)
Cr5S6  163  (P-31c)
Cu1F1  216  (F-43m)
Cu1I1  166  (R-3m)
Cu1Y1  62  (Pnma)
Cu2S1  194  (P63/mmc)
Cu2S1  225  (Fm-3m)
Cu2Y1  194  (P63/mmc)
Cu3N1  123  (P4/mmm)
Cu3P1  164  (P-3m1)
Cu4O3  141  (I41/amd)
Dy1S2  227  (Fd-3m)
Dy1S2  129  (P4/nmm)
Dy2O3  164  (P-3m1)
Dy2S3  62  (Pnma)
Er1S1  225  (Fm-3m)
Er1S2  129  (P4/nmm)
Er2O3  12  (C2/m)
Er2S3  62  (Pnma)
Er5S7  12  (C2/m)
Eu1N1  225  (Fm-3m)
Eu1P7  14  (P21/c)
F2Mn1  61  (Pbca)
F3Mn1  15  (C2/c)
F4Tc1  61  (Pbca)
F5Os1  14  (P21/c)
Fe1O1  62  (Pnma)
Fe1O3  2  (P-1)
Fe1O3  2  (P-1)
Fe1O3  63  (Cmcm)
Fe1S1  62  (Pnma)
Fe1S1  190  (P-62c)
Fe1S1  62  (Pnma)
Fe2O1  194  (P63/mmc)
Fe2O1  164  (P-3m1)
Fe2O3  14  (P21/c)
Fe2O3  63  (Cmcm)
Fe2O3  60  (Pbcn)
Fe2O3  167  (R-3c)
Fe3O2  12  (C2/m)
Fe3O4  63  (Cmcm)
Fe3O4  63  (Cmcm)
Fe3O4  13  (P2/c)
Fe3O4  63  (Cmcm)
Fe3O4  57  (Pbcm)
Fe3O4  62  (Pnma)
Fe3O4  57  (Pbcm)
Fe3O4  51  (Pmma)
Fe3O4  63  (Cmcm)
Fe3O4  14  (P21/c)
Fe3O7  10  (P2/m)
Fe3P1  82  (I-4)
Fe3S1  62  (Pnma)
Fe4O5  63  (Cmcm)
Fe4O5  164  (P-3m1)
Fe5O7  12  (C2/m)
Fe7S8  15  (C2/c)
Fe7W6  166  (R-3m)
Ga1P1  166  (R-3m)
Ga1U1  63  (Cmcm)
Ga1V3  225  (Fm-3m)
Ga1Y1  63  (Cmcm)
Ga2U1  191  (P6/mmm)
Ga2Y3  140  (I4/mcm)
Ga3Y5  130  (P4/ncc)
Ga5Y3  62  (Pnma)
Gd1S1  225  (Fm-3m)
Gd1S2  227  (Fd-3m)
Gd1S2  14  (P21/c)
Gd1S2  129  (P4/nmm)
Gd2O3  206  (Ia-3)
Gd2O3  12  (C2/m)
Gd2O3  164  (P-3m1)
Gd2O3  206  (Ia-3)
Gd2S3  62  (Pnma)
Ge1S1  63  (Cmcm)
Ge2U1  65  (Cmmm)
Ge2U1  63  (Cmcm)
Ge2W1  62  (Pnma)
Ge3W5  140  (I4/mcm)
H1Cl1  69  (Fmmm)
H1Sc1  131  (P42/mmc)
H1Sc1  63  (Cmcm)
H1Si1  164  (P-3m1)
H2Gd1  225  (Fm-3m)
H2Mo1  62  (Pnma)
H2Mo1  225  (Fm-3m)
H2Nd1  225  (Fm-3m)
H2Pu1  225  (Fm-3m)
H2Sc1  123  (P4/mmm)
H2Th1  139  (I4/mmm)
H2Ti1  139  (I4/mmm)
H2Ti1  129  (P4/nmm)
H2Ti1  225  (Fm-3m)
H2Yb1  225  (Fm-3m)
H2Zr1  139  (I4/mmm)
H2Zr1  139  (I4/mmm)
H3Am1  194  (P63/mmc)
H3Lu1  165  (P-3c1)
H3Mo1  87  (I4/m)
H3Np1  165  (P-3c1)
H3Np1  194  (P63/mmc)
H3Sb1  62  (Pnma)
H3Sc1  63  (Cmcm)
H3Sc1  12  (C2/m)
H4Fe1  11  (P21/m)
H4Ge1  65  (Cmmm)
H4Ge1  11  (P21/m)
H4Ge1  63  (Cmcm)
H4Sn1  63  (Cmcm)
H4Sn1  11  (P21/m)
H4Sn1  12  (C2/m)
Hf1P1  194  (P63/mmc)
Hf1P2  62  (Pnma)
Hf1S3  11  (P21/m)
Hf1V2  141  (I41/amd)
Hf1V2  74  (Imma)
Hf3P2  62  (Pnma)
Hf7P4  12  (C2/m)
Hg1K1  2  (P-1)
Hg1O1  216  (F-43m)
Hg1S1  12  (C2/m)
Hg1S1  216  (F-43m)
Ho2N3  206  (Ia-3)
Ho2O3  164  (P-3m1)
Ho2O3  12  (C2/m)
Ho2O3  206  (Ia-3)
Ho2S3  62  (Pnma)
I1La1  194  (P63/mmc)
I2Nd1  139  (I4/mmm)
I2Pb1  65  (Cmmm)
I2Pb1  139  (I4/mmm)
I2Pb1  71  (Immm)
I3Np1  63  (Cmcm)
I3Th1  66  (Cccm)
In1N1  225  (Fm-3m)
In1V3  225  (Fm-3m)
In2O3  60  (Pbcn)
In5Y3  62  (Pnma)
In5Y3  63  (Cmcm)
Ir1K3  71  (Immm)
Ir1P2  14  (P21/c)
Ir1V1  65  (Cmmm)
Ir1V1  65  (Cmmm)
Ir1V1  63  (Cmcm)
Ir1V1  65  (Cmmm)
Ir1Y1  221  (Pm-3m)
Ir1Y3  62  (Pnma)
La1N1  129  (P4/nmm)
La1N1  221  (Pm-3m)
La1P1  225  (Fm-3m)
La1S1  64  (Cmce)
Li4N1  51  (Pmma)
Li4N1  123  (P4/mmm)
Li4N1  14  (P21/c)
Li4N1  69  (Fmmm)
Li4N1  15  (C2/c)
Li4N1  12  (C2/m)
Li4N1  2  (P-1)
Li4N1  63  (Cmcm)
Li4N1  14  (P21/c)
Li4N1  2  (P-1)
Li5P1  67  (Cmme)
Li6P1  2  (P-1)
Lu1P1  63  (Cmcm)
Mn1P1  62  (Pnma)
Mn1V1  221  (Pm-3m)
Mn2U1  74  (Imma)
Mo1N1  194  (P63/mmc)
Mo1N2  166  (R-3m)
Mo1N2  11  (P21/m)
